FGB ID	Number of Families	Family names
FGB27	1	f__Euryarchaeota_unclassified
FGB28	1	f__Euryarchaeota_unclassified
FGB83	1	f__Methanomicrobiaceae
FGB86	1	f__Methanoregulaceae
FGB92	1	f__Methanomicrobiaceae
FGB93	1	f__Methanocellaceae
FGB100	1	f__Haloferacaceae
FGB101	7	f__Haloferacaceae,f__Halococcaceae,f__Haloferacales_unclassified,f__Halobacteriaceae,f__Halorubraceae,f__Natrialbaceae,f__Haloarculaceae
FGB104	1	f__Ferroplasmaceae
FGB105	2	f__Ferroplasmaceae,f__Picrophilaceae
FGB106	1	f__Cuniculiplasmataceae
FGB108	1	f__Thermoplasmataceae
FGB118	3	f__Candidatus_Methanomethylophilaceae,f__Thermoplasmata_unclassified,f__Thermoplasmatales_unclassified
FGB169	1	f__Thaumarchaeota_unclassified
FGB170	2	f__Nitrosopumilaceae,f__Thaumarchaeota_unclassified
FGB190	1	f__Candidatus_Methanoperedenaceae
FGB191	1	f__Methanosarcinaceae
FGB193	1	f__Methanosarcinaceae
FGB194	1	f__Methanosarcinaceae
FGB195	1	f__Methanosarcinaceae
FGB205	1	f__Nanopusillaceae
FGB209	1	f__Methanocaldococcaceae
FGB210	1	f__Methanococcaceae
FGB217	1	f__Methanobacteriaceae
FGB218	1	f__Methanobacteriaceae
FGB220	1	f__Methanobacteriaceae
FGB221	1	f__Methanobacteriaceae
FGB222	1	f__Methanobacteriaceae
FGB230	2	f__Saccharomycetaceae,f__Debaryomycetaceae
FGB233	1	f__Peptostreptococcaceae
FGB241	1	f__Archaeoglobaceae
FGB243	1	f__Archaeoglobaceae
FGB257	2	f__Thaumarchaeota_unclassified,f__Thermoplasmatales_unclassified
FGB259	1	f__Thermoproteaceae
FGB261	1	f__Thermoproteaceae
FGB264	1	f__Euryarchaeota_unclassified
FGB265	1	f__Thermofilaceae
FGB277	1	f__Nitrososphaeraceae
FGB279	1	f__Sulfolobaceae
FGB280	1	f__Sulfolobaceae
FGB281	1	f__Sulfolobaceae
FGB282	1	f__Sulfolobaceae
FGB283	1	f__Thermococcaceae
FGB288	1	f__Desulfurococcaceae
FGB289	1	f__Desulfurococcaceae
FGB290	1	f__Desulfurococcaceae
FGB291	2	f__Desulfurococcaceae,f__Pyrodictiaceae
FGB324	2	f__Atopobiaceae,f__Coriobacteriaceae
FGB327	1	f__Atopobiaceae
FGB328	1	f__Atopobiaceae
FGB329	1	f__Atopobiaceae
FGB365	1	f__Alphaproteobacteria_unclassified
FGB382	1	f__Bacteria_unclassified
FGB425	1	f__Acetobacteraceae
FGB426	1	f__Acetobacteraceae
FGB427	1	f__Acetobacteraceae
FGB436	1	f__Alphaproteobacteria_unclassified
FGB478	1	f__Petrotogaceae
FGB507	2	f__Bacteroidetes_unclassified,f__Porphyromonadaceae
FGB551	1	f__Prevotellaceae
FGB563	1	f__Prevotellaceae
FGB564	2	f__Prevotellaceae,f__Bacteroidales_unclassified
FGB565	1	f__Prevotellaceae
FGB566	1	f__Prevotellaceae
FGB568	1	f__Prevotellaceae
FGB579	1	f__Prevotellaceae
FGB581	1	f__Prevotellaceae
FGB585	1	f__Prevotellaceae
FGB587	1	f__Dysgonamonadaceae
FGB588	2	f__Odoribacteraceae,f__Porphyromonadaceae
FGB589	1	f__Odoribacteraceae
FGB592	1	f__Prevotellaceae
FGB595	1	f__Bacteroidaceae
FGB597	1	f__Bacteroidaceae
FGB598	1	f__Tannerellaceae
FGB599	1	f__Tannerellaceae
FGB604	1	f__Barnesiellaceae
FGB605	1	f__Barnesiellaceae
FGB609	1	f__Porphyromonadaceae
FGB616	2	f__Dysgonamonadaceae,f__Porphyromonadaceae
FGB622	1	f__Porphyromonadaceae
FGB623	1	f__Tannerellaceae
FGB624	1	f__Bacteroidales_unclassified
FGB626	2	f__Tannerellaceae,f__Porphyromonadaceae
FGB673	2	f__Ruminococcaceae,f__Rikenellaceae
FGB680	1	f__Amoebophilaceae
FGB719	1	f__Prolixibacteraceae
FGB720	1	f__Prolixibacteraceae
FGB722	1	f__Marinifilaceae
FGB769	1	f__Flavobacteriaceae
FGB770	1	f__Flavobacteriaceae
FGB772	1	f__Flavobacteriaceae
FGB773	1	f__Flavobacteriaceae
FGB787	1	f__Flavobacteriaceae
FGB792	1	f__Flavobacteriaceae
FGB793	1	f__Flavobacteriaceae
FGB795	1	f__Flavobacteriaceae
FGB796	1	f__Flavobacteriaceae
FGB801	1	f__Flavobacteriaceae
FGB802	1	f__Flavobacteriaceae
FGB803	1	f__Flavobacteriaceae
FGB804	1	f__Flavobacteriaceae
FGB805	1	f__Flavobacteriaceae
FGB806	1	f__Flavobacteriaceae
FGB807	1	f__Flavobacteriaceae
FGB808	1	f__Flavobacteriaceae
FGB810	1	f__Flavobacteriaceae
FGB811	2	f__Flavobacteriaceae,f__Flavobacteriales_unclassified
FGB815	2	f__Flavobacteriaceae,f__Flavobacteriia_unclassified
FGB816	1	f__Flavobacteriaceae
FGB817	3	f__Flavobacteriaceae,f__Cytophagaceae,f__Sphingobacteriaceae
FGB820	1	f__Flavobacteriaceae
FGB821	1	f__Flavobacteriaceae
FGB823	2	f__Flavobacteriaceae,f__Flavobacteriales_unclassified
FGB826	1	f__Flavobacteriaceae
FGB827	1	f__Flavobacteriaceae
FGB828	1	f__Flavobacteriaceae
FGB833	1	f__Sphingobacteriaceae
FGB834	1	f__Sphingobacteriaceae
FGB835	1	f__Sphingobacteriaceae
FGB836	1	f__Sphingobacteriaceae
FGB841	1	f__Sphingobacteriaceae
FGB843	1	f__Sphingobacteriaceae
FGB844	1	f__Sphingobacteriaceae
FGB846	1	f__Holosporaceae
FGB848	1	f__Fibrobacteraceae
FGB850	1	f__Flammeovirgaceae
FGB853	1	f__Cytophagaceae
FGB855	1	f__Flammeovirgaceae
FGB858	1	f__Flammeovirgaceae
FGB860	2	f__Cytophagaceae,f__Cyclobacteriaceae
FGB861	1	f__Cyclobacteriaceae
FGB862	2	f__Cytophagaceae,f__Cyclobacteriaceae
FGB865	1	f__Cyclobacteriaceae
FGB866	1	f__Flammeovirgaceae
FGB875	1	f__Planctomycetaceae
FGB877	1	f__Gemmataceae
FGB878	2	f__Isosphaeraceae,f__Planctomycetaceae
FGB884	1	f__Planctomycetaceae
FGB885	1	f__Planctomycetaceae
FGB886	1	f__Planctomycetaceae
FGB909	3	f__Bacteroidaceae,f__Prevotellaceae,f__Bacteroidales_unclassified
FGB910	1	f__Flavobacteriaceae
FGB917	1	f__Sedimentisphaeraceae
FGB922	1	f__Candidatus_Brocadiaceae
FGB930	2	f__Bacteria_unclassified,f__Raineyaceae
FGB932	1	f__Cytophagaceae
FGB934	1	f__Saprospiraceae
FGB935	1	f__Chitinophagaceae
FGB937	1	f__Flammeovirgaceae
FGB938	2	f__Cytophagales_unclassified,f__Cytophagaceae
FGB939	1	f__Cytophagaceae
FGB941	2	f__Cytophagales_unclassified,f__Hymenobacteraceae
FGB942	1	f__Hymenobacteraceae
FGB943	1	f__Cytophagaceae
FGB944	1	f__Cytophagaceae
FGB945	1	f__Cytophagaceae
FGB953	1	f__Chitinophagaceae
FGB959	1	f__Chitinophagaceae
FGB963	1	f__Chitinophagaceae
FGB964	1	f__Chitinophagaceae
FGB968	1	f__Chitinophagaceae
FGB970	1	f__Chitinophagaceae
FGB987	1	f__Sphingobacteriales_unclassified
FGB988	1	f__Chitinophagaceae
FGB1002	1	f__Spirochaetaceae
FGB1004	1	f__Spirochaetaceae
FGB1016	1	f__Spirochaetaceae
FGB1018	1	f__Spirochaetaceae
FGB1019	1	f__Spirochaetaceae
FGB1022	1	f__Spirochaetaceae
FGB1033	1	f__Spirochaetaceae
FGB1036	1	f__Spirochaetaceae
FGB1056	1	f__Corynebacteriales_unclassified
FGB1077	1	f__Nitrosomonadales_unclassified
FGB1080	1	f__Methylophilaceae
FGB1091	1	f__Bacillales_unclassified
FGB1105	1	f__Synergistaceae
FGB1108	1	f__Synergistaceae
FGB1160	1	f__Mycoplasmataceae
FGB1161	1	f__Mycoplasmataceae
FGB1194	1	f__Clostridiales_Family_XIII_Incertae_Sedis
FGB1198	1	f__Clostridiales_Family_XIII_Incertae_Sedis
FGB1219	1	f__Eubacteriaceae
FGB1233	1	f__Hungateiclostridiaceae
FGB1240	1	f__Clostridiaceae
FGB1245	2	f__Tissierellaceae,f__Erysipelotrichaceae
FGB1254	1	f__Erysipelotrichaceae
FGB1256	1	f__Erysipelotrichaceae
FGB1268	1	f__Eubacteriaceae
FGB1269	1	f__Eubacteriaceae
FGB1277	1	f__Ruminococcaceae
FGB1326	1	f__Ruminococcaceae
FGB1330	1	f__Ruminococcaceae
FGB1331	1	f__Ruminococcaceae
FGB1333	1	f__Ruminococcaceae
FGB1336	1	f__Ruminococcaceae
FGB1372	2	f__Lachnospiraceae,f__Ruminococcaceae
FGB1385	1	f__Nitrospinaceae
FGB1398	1	f__Lachnospiraceae
FGB1407	1	f__Lachnospiraceae
FGB1409	1	f__Lachnospiraceae
FGB1413	1	f__Lachnospiraceae
FGB1414	2	f__Lachnospiraceae,f__Ruminococcaceae
FGB1415	2	f__Lachnospiraceae,f__Clostridiaceae
FGB1416	1	f__Ruminococcaceae
FGB1417	1	f__Lachnospiraceae
FGB1430	1	f__Lachnospiraceae
FGB1432	1	f__Eubacteriaceae
