ID	Old assigned taxonomy	New assigned taxonomy	Type of change
404	k__Bacteria|p__Proteobacteria|c__CFGB122|o__OFGB122|f__FGB122|g__GGB292|s__GGB292_SGB404|t__SGB404	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Gammaproteobacteria_unclassified|g__Gammaproteobacteria_unclassified|s__K189A_clade_bacterium|t__SGB404	From uSGB to kSGB
4361	k__Bacteria|p__Firmicutes|c__CFGB1352|o__OFGB1352|f__FGB1352|g__GGB3301|s__GGB3301_SGB4361|t__SGB4361	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB4361	From uSGB to kSGB
4388	k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359|g__GGB3318|s__GGB3318_SGB4388|t__SGB4388	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB4388	From uSGB to kSGB
4391	k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359|g__GGB3320|s__GGB3320_SGB4391|t__SGB4391	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB4391	From uSGB to kSGB
4393	k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359|g__GGB3321|s__GGB3321_SGB4393|t__SGB4393	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB4393	From uSGB to kSGB
4402	k__Bacteria|p__Firmicutes|c__CFGB1360|o__OFGB1360|f__FGB1360|g__GGB3325|s__GGB3325_SGB4402|t__SGB4402	k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_unclassified|s__Ruminococcaceae_bacterium|t__SGB4402	From uSGB to kSGB
5310	k__Bacteria|p__Bacteroidetes|c__CFGB1553|o__OFGB1553|f__FGB1553|g__GGB3910|s__GGB3910_SGB5310|t__SGB5310	k__Bacteria|p__Kiritimatiellaeota|c__Kiritimatiellae|o__Kiritimatiellae_unclassified|f__Kiritimatiellae_unclassified|g__Kiritimatiellae_unclassified|s__Kiritimatiellae_bacterium|t__SGB5310	From uSGB to kSGB
5909	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Selenomonas|s__Selenomonas_SGB5909|t__SGB5909	k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae|g__Selenomonas|s__Selenomonas_bovis|t__SGB5909	From uSGB to kSGB
13327	k__Bacteria|p__Proteobacteria|c__CFGB2647|o__OFGB2647|f__FGB2647|g__GGB8589|s__GGB8589_SGB13327|t__SGB13327	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Cellvibrionales|f__Porticoccaceae|g__Porticoccaceae_unclassified|s__Porticoccaceae_bacterium|t__SGB13327	From uSGB to kSGB
13331	k__Bacteria|p__Proteobacteria|c__CFGB2650|o__OFGB2650|f__FGB2650|g__GGB8593|s__GGB8593_SGB13331|t__SGB13331	k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Gammaproteobacteria_unclassified|g__Gammaproteobacteria_unclassified|s__K189A_clade_bacterium|t__SGB13331	From uSGB to kSGB
