ID	Old assigned taxonomy	New assigned taxonomy	Type of change
590	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Candidatus_Methanoperedenaceae|g__GGB442|s__GGB442_SGB590|t__SGB590	k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Candidatus_Methanoperedenaceae|g__Candidatus_Methanoperedens|s__Candidatus_Methanoperedens_sp_BLZ2|t__SGB590	From uSGB to kSGB
713	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_SGB713|t__SGB713	k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__SGB713	From uSGB to kSGB
872	k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Thermococcus|s__Thermococcus_SGB872|t__SGB872	k__Archaea|p__Euryarchaeota|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Thermococcus|s__Thermococcus_sp_PK|t__SGB872	From uSGB to kSGB
957	k__Bacteria|p__Actinobacteria|c__CFGB321|o__OFGB321|f__FGB321|g__GGB742|s__GGB742_SGB957|t__SGB957	k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Phoenicibacter|s__Phoenicibacter_congonensis|t__SGB957	From uSGB to kSGB
1163	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_SGB1163|t__SGB1163	k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter|s__Gluconobacter_frateurii|t__SGB1163	From uSGB to kSGB
1238	k__Bacteria|p__Proteobacteria|c__CFGB449|o__OFGB449|f__FGB449|g__GGB953|s__GGB953_SGB1238|t__SGB1238	k__Bacteria|p__Candidatus_Tectomicrobia|c__Candidatus_Tectomicrobia_unclassified|o__Candidatus_Tectomicrobia_unclassified|f__Candidatus_Tectomicrobia_unclassified|g__Candidatus_Entotheonella|s__Candidatus_Entotheonella_palauensis|t__SGB1238	From uSGB to kSGB
1239	k__Bacteria|p__Proteobacteria|c__CFGB449|o__OFGB449|f__FGB449|g__GGB954|s__GGB954_SGB1239|t__SGB1239	k__Bacteria|p__Candidatus_Tectomicrobia|c__Candidatus_Tectomicrobia_unclassified|o__Candidatus_Tectomicrobia_unclassified|f__Candidatus_Tectomicrobia_unclassified|g__Candidatus_Entotheonella|s__Candidatus_Entotheonella_palauensis|t__SGB1239	From uSGB to kSGB
1429	k__Bacteria|p__Bacteroidetes|c__CFGB541|o__OFGB541|f__FGB541|g__GGB1115|s__GGB1115_SGB1429|t__SGB1429	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_Marseille_P3684|t__SGB1429	From uSGB to kSGB
1465	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_SGB1465|t__SGB1465	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellaceae_unclassified|s__Prevotellaceae_bacterium_Marseille_P2826|t__SGB1465	From uSGB to kSGB
1477	k__Bacteria|p__Bacteroidetes|c__CFGB553|o__OFGB553|f__FGB553|g__GGB1150|s__GGB1150_SGB1477|t__SGB1477	k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotellamassilia|s__Prevotellamassilia_timonensis|t__SGB1477	From uSGB to kSGB
